strain_name_raw,source_url_raw,s3_html_key_raw,breeder_extracted
Gmo Fast Dutch Passion,https://herbiesheadshop.com/cannabis-seeds/gmo-fast-dutch-passion,html/afe1826d5705968f.html,Dutch Passion
Moby Dick Herbies Seeds Usa,https://herbiesheadshop.com/cannabis-seeds/moby-dick-herbies-seeds-usa,html/affdd5e796655ecb.html,Herbies Seeds
Cbd Haze 11 Auto Herbies Seeds Usa,https://herbiesheadshop.com/cannabis-seeds/cbd-haze-11-auto-herbies-seeds-usa,html/b0a19176f7e165ad.html,Herbies Seeds
Blue Cheese,https://herbiesheadshop.com/cannabis-seeds/blue-cheese,html/b137f37653c4bdd1.html,Barney's Farm
Lemon Cherry Cookies Auto,https://herbiesheadshop.com/cannabis-seeds/lemon-cherry-cookies-auto,html/b17504a4067076b8.html,Fast Buds
Z Auto Herbies Seeds Usa,https://herbiesheadshop.com/cannabis-seeds/z-auto-herbies-seeds-usa,html/b23f6d1d4aa9b1df.html,Herbies Seeds
Moby Dick Auto Barneys Farm,https://herbiesheadshop.com/cannabis-seeds/moby-dick-auto-barneys-farm,html/b245c61c10058ddb.html,Barney's Farm
Purple Punch,https://herbiesheadshop.com/cannabis-seeds/purple-punch,html/b25b26b9713ac6e1.html,Barney's Farm
Mimosa Auto Growers Choice,https://herbiesheadshop.com/cannabis-seeds/mimosa-auto-growers-choice,html/b304b24c84f0b5e2.html,Growers Choice
Amnesia Auto Herbies Seeds Usa,https://herbiesheadshop.com/cannabis-seeds/amnesia-auto-herbies-seeds-usa,html/b340e656a3e52a9e.html,Herbies Seeds
Cbd Amnesia Herbies Seeds Usa,https://herbiesheadshop.com/cannabis-seeds/cbd-amnesia-herbies-seeds-usa,html/b35f54fe7592884d.html,Herbies Seeds
Chocolope Herbies Seeds Usa,https://herbiesheadshop.com/cannabis-seeds/chocolope-herbies-seeds-usa,html/b37c426614463dc6.html,Herbies Seeds
Keepers Og Autoflower,https://herbiesheadshop.com/cannabis-seeds/keepers-og-autoflower,html/b3c9e57abc26b912.html,Seedkeepers
Critical Xxl Auto Herbies Seeds,https://herbiesheadshop.com/cannabis-seeds/critical-xxl-auto-herbies-seeds,html/b42692a5253c616b.html,Herbies Seeds
Melonade Runtz Auto Dutch Passion,https://herbiesheadshop.com/cannabis-seeds/melonade-runtz-auto-dutch-passion,html/b4404f4ef093323d.html,Dutch Passion
Cbd Auto Charlottes Angel,https://herbiesheadshop.com/cannabis-seeds/cbd-auto-charlottes-angel,html/b465b606d8d1dc45.html,Dutch Passion
Jack Flash 5,https://herbiesheadshop.com/cannabis-seeds/jack-flash-5,html/b4f439a02551f5cd.html,Sensi Seeds
Runtz Growers Choice,https://herbiesheadshop.com/cannabis-seeds/runtz-growers-choice,html/b56c0b4920f95ec2.html,Growers Choice
Sweet Cherry Kush A Fem Sensi Seeds,https://herbiesheadshop.com/cannabis-seeds/sweet-cherry-kush-a-fem-sensi-seeds,html/b56e9852cd1eb764.html,Sensi Seeds
Shiva Skunk,https://herbiesheadshop.com/cannabis-seeds/shiva-skunk,html/b57067985cab5b72.html,Sensi Seeds
Amnesia Haze Herbies Seeds Usa,https://herbiesheadshop.com/cannabis-seeds/amnesia-haze-herbies-seeds-usa,html/b58734d1ce986233.html,Herbies Seeds
Blackberry Auto Herbies Seeds Usa,https://herbiesheadshop.com/cannabis-seeds/blackberry-auto-herbies-seeds-usa,html/b5c5394a074f0f22.html,Herbies Seeds
